id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
595,Who was the founder of the Tughlaq Dynasty?,Jalaluddin Khilji,Khizar Khan,Bahlul Lodi,Ghiyasuddin Tughlaq,D,Ghiyasuddin Tughlaq was the founder of the Tughlaq Dynasty.,History,IMG_6523.jpg
596,Who was the founder of the Sayyid Dynasty?,Khizar Khan,Bahlul Lodi,Qutb ud-din Aibak,Jalaluddin Khilji,A,Khizar Khan was the founder of the Sayyid Dynasty.,History,IMG_6523.jpg
597,Who was the founder of the Lodi Dynasty?,Khizar Khan,Bahlul Lodi,Ghiyasuddin Tughlaq,Jalaluddin Khilji,B,Bahlul Lodi was the founder of the Lodi Dynasty.,History,IMG_6523.jpg
598,Between which centuries did the Mughal Empire control much of South Asia?,14th and 17th,15th and 18th,16th and 19th,17th and 20th,C,The Mughal Empire controlled much of South Asia between the 16th and 19th centuries.,History,IMG_6523.jpg
599,Who gave the slogan 'Do or Die'?,Jawaharlal Nehru,Mahatma Gandhi,Lala Lajpat Rai,Bhagat Singh,B,Mahatma Gandhi gave the slogan 'Do or Die'.,Civics,IMG_6528.jpg
600,Who gave the slogan 'Inquilab Zindabad'?,Mahatma Gandhi,Shaheed Bhagat Singh,Lala Lajpat Rai,Jawaharlal Nehru,B,Shaheed Bhagat Singh gave the slogan 'Inquilab Zindabad'.,Civics,IMG_6528.jpg
601,Who gave the slogan 'Jai Hind'?,Mahatma Gandhi,Netaji Subhash Chandra Bose,Lala Lajpat Rai,Jawaharlal Nehru,B,Netaji Subhash Chandra Bose gave the slogan 'Jai Hind'.,Civics,IMG_6528.jpg
602,Who gave the slogan 'Satyamev Jayate'?,Mahatma Gandhi,Pandit Madan Mohan Malviya,Lala Lajpat Rai,Jawaharlal Nehru,B,Pandit Madan Mohan Malviya gave the slogan 'Satyamev Jayate'.,Civics,IMG_6528.jpg
603,Who gave the slogan 'Sare Jahaan Se Acha Hindustan Hamara'?,Muhammad Iqbal,Pandit Madan Mohan Malviya,Lala Lajpat Rai,Jawaharlal Nehru,A,Muhammad Iqbal gave the slogan 'Sare Jahaan Se Acha Hindustan Hamara'.,Civics,IMG_6528.jpg
604,Who gave the slogan 'Aaram haram hai'?,Muhammad Iqbal,Pandit Madan Mohan Malviya,Jawaharlal Nehru,Lala Lajpat Rai,C,Jawaharlal Nehru gave the slogan 'Aaram haram hai'.,Civics,IMG_6528.jpg
605,Who gave the slogan 'Jai Jawan Jai Kisan'?,Muhammad Iqbal,Lal Bahadur Shastri,Jawaharlal Nehru,Lala Lajpat Rai,B,Lal Bahadur Shastri gave the slogan 'Jai Jawan Jai Kisan'.,Civics,IMG_6528.jpg
606,Who gave the slogan 'Simon Go Back'?,Muhammad Iqbal,Lal Bahadur Shastri,Jawaharlal Nehru,Lala Lajpat Rai,D,Lala Lajpat Rai gave the slogan 'Simon Go Back'.,Civics,IMG_6528.jpg
607,"Who gave the slogan 'Swaraj mera janam sidh adhikar hai, aur mai ise lekar rahunga'?",Muhammad Iqbal,Lal Bahadur Shastri,Jawaharlal Nehru,Bal Gangadhar Tilak,D,"Bal Gangadhar Tilak gave the slogan 'Swaraj mera janam sidh adhikar hai, aur mai ise lekar rahunga'.",Civics,IMG_6528.jpg
608,Who gave the slogan 'Vande Mataram'?,Muhammad Iqbal,Bankim Chandra Chatterjee,Jawaharlal Nehru,Bal Gangadhar Tilak,B,Bankim Chandra Chatterjee gave the slogan 'Vande Mataram'.,Civics,IMG_6528.jpg
609,Who gave the slogan 'Dilli chalo'?,Muhammad Iqbal,Bankim Chandra Chatterjee,Netaji Subhash Chandra Bose,Bal Gangadhar Tilak,C,Netaji Subhash Chandra Bose gave the slogan 'Dilli chalo'.,Civics,IMG_6528.jpg
610,What is the supreme law of India?,The President's Rule,The Constitution,The Parliament,The Supreme Court,B,The Constitution is the supreme law of India.,Civics,IMG_6528.jpg
611,What type of document is the Indian Constitution?,An oral tradition,A written document,A set of guidelines,A historical artifact,B,The Indian Constitution is a written document.,Civics,IMG_6528.jpg
612,Who is regarded as the 'Father of the Indian Constitution'?,Mahatma Gandhi,Jawaharlal Nehru,Dr. B.R. Ambedkar,Rajendra Prasad,C,Dr. B.R. Ambedkar is regarded as the 'Father of the Indian Constitution'.,Civics,IMG_6528.jpg
613,What is Constitution Day also known as?,Republic Day,Independence Day,Samvidhan Divas,Gandhi Jayanti,C,Constitution Day is also famously known as 'Samvidhan Divas'.,Civics,IMG_6528.jpg
614,When is Constitution Day celebrated in India?,26th January,15th August,2nd October,26th November,D,Constitution Day is celebrated on 26th November every year.,Civics,IMG_6528.jpg
615,What is a characteristic of the Indian Constitution compared to other written constitutions?,The shortest,The oldest,The lengthiest,The newest,C,The Constitution of India is the lengthiest of all the written Constitutions of the world.,Civics,IMG_6528.jpg
616,How many fundamental rights are there in the Indian Constitution?,Five,Six,Seven,Eight,B,There are six fundamental rights in the Indian Constitution.,Civics,IMG_6528.jpg
617,Which of the following is a fundamental right in the Indian Constitution?,Right to Property,Right to Vote,Right to Equality,Right to Education,C,Right to equality is one of the fundamental rights in the Indian Constitution.,Civics,IMG_6528.jpg
618,Which of the following is a fundamental right in the Indian Constitution?,Right to Property,Right to Vote,Right to Freedom,Right to Education,C,Right to freedom is one of the fundamental rights in the Indian Constitution.,Civics,IMG_6528.jpg
619,Which of the following is a fundamental right in the Indian Constitution?,Right to Property,Right to Vote,Right against exploitation,Right to Education,C,Right against exploitation is one of the fundamental rights in the Indian Constitution.,Civics,IMG_6528.jpg
620,In which sport did India win a Gold medal at the 1928 Olympics?,Cricket,Football,Hockey,Badminton,C,"According to the table, India won a Gold medal in Hockey at the 1928 Olympics.",Sports,IMG_6539.jpg
621,In what year did India win a Silver medal in Hockey at the Olympics?,1956,1960,1964,1968,B,The table shows that India won a Silver medal in Hockey in 1960.,Sports,IMG_6539.jpg
622,Which of these years was NOT one in which India won a Gold medal in Hockey at the Olympics?,1932,1952,1972,1980,C,"India won Gold medals in Hockey in 1932, 1952, and 1980, but not in 1972.",Sports,IMG_6539.jpg
623,Which team has won the IPL cricket tournament the most times?,Kolkata Knight Riders,Mumbai Indians,Chennai Super Kings,Rajasthan Royals,B,"Both Mumbai Indians and Chennai Super Kings have won the IPL 5 times, which is more than any other team listed.",Sports,IMG_6539.jpg
624,Which team won the IPL in 2008?,Deccan Chargers,Rajasthan Royals,Chennai Super Kings,Mumbai Indians,B,The table shows that Rajasthan Royals won the IPL in 2008.,Sports,IMG_6539.jpg
625,Which team won the IPL in 2022?,Sunrisers Hyderabad,Gujarat Titans,Mumbai Indians,Rajasthan Royals,B,The table shows that Gujarat Titans won the IPL in 2022.,Sports,IMG_6539.jpg
626,Which country has won the FIFA World Cup the most times?,Germany,Italy,Brazil,Argentina,C,"Brazil has won the FIFA World Cup 5 times, which is more than any other team listed.",Sports,IMG_6539.jpg
627,In which year did England win the FIFA World Cup?,1958,1966,1974,1978,B,The table shows that England won the FIFA World Cup in 1966.,Sports,IMG_6539.jpg
628,How many times has Argentina won the FIFA World Cup?,2,3,4,5,B,The table shows that Argentina has won the FIFA World Cup 3 times.,Sports,IMG_6539.jpg
629,Which country won the ODI Cricket World Cup in 2019?,Australia,India,England,Pakistan,C,The table shows that England won the ODI Cricket World Cup in 2019.,Sports,IMG_6539.jpg
630,Which country won the ODI Cricket World Cup in 1992?,Australia,Pakistan,Sri Lanka,West Indies,B,The table shows that Pakistan won the ODI Cricket World Cup in 1992.,Sports,IMG_6539.jpg
631,How many times has Australia won the ODI Cricket World Cup?,2,4,5,6,D,The table shows that Australia has won the ODI Cricket World Cup 6 times.,Sports,IMG_6539.jpg
632,Which country won the ODI Cricket World Cup in 1983?,Australia,India,West Indies,England,B,The table shows that India won the ODI Cricket World Cup in 1983.,Sports,IMG_6539.jpg
633,Approximately how many major organs does the human body contain?,50,65,78,90,C,The human body contains a total of seventy-eight major organs.,Science,IMG_6503.jpg
634,Which of the following is NOT listed as one of the five essential organs for survival?,Heart,Brain,Stomach,Lungs,C,"The five essential organs listed are the heart, brain, kidneys, liver, and lungs.",Science,IMG_6503.jpg
635,What is the approximate weight range of the liver?,0.5 to 0.7 kg,1.0 to 1.2 kg,1.3 to 1.5 kg,1.8 to 2.0 kg,C,The liver weighs between 1.3 and 1.5 kg.,Science,IMG_6503.jpg
636,Where is the liver located in the body?,Lower left part of the abdomen,Upper right part of the abdomen,Lower right part of the abdomen,Upper left part of the abdomen,B,The liver is located in the upper right part of the abdomen.,Science,IMG_6503.jpg
637,What is the shape of the liver?,Circular,Square,"Triangular, bilobed",Rectangular,C,"The liver is in triangular, bilobed shape.",Science,IMG_6503.jpg
638,The liver conducts over how many activities?,100,250,500,750,C,The liver conducts over 500 activities.,Science,IMG_6503.jpg
639,Which fluid protects the brain from mild mechanical shocks and jolts?,Gastric fluid,Cerebrospinal fluid,Synovial fluid,Lymphatic fluid,B,"The brain is suspended in cerebrospinal fluid, which protects it from shocks and jolts.",Science,IMG_6503.jpg
640,Which system comprises the brain as well as the spinal cord?,Digestive system,Respiratory system,Central nervous system,Circulatory system,C,The central nervous system (CNS) comprises the brain as well as the spinal cord.,Science,IMG_6503.jpg
641,Which of the following is a function of the central nervous system?,Digesting food,Thinking and interpreting,Pumping blood,Filtering waste,B,"The central nervous system is in charge of thinking, interpreting, regulating, and controlling physical emotions.",Science,IMG_6503.jpg
642,Which of the following is the biggest internal organ in the human body?,Brain,Heart,Liver,Lungs,C,The liver is the biggest internal organ in the human body.,Science,IMG_6503.jpg
643,Which of the following is a fundamental duty of Indian citizens?,To only respect the national flag,To follow ideals of the freedom struggle,To disrespect the Constitution,To only protect the integrity of their state,B,Following the ideals of the freedom struggle is a fundamental duty.,Civics,IMG_6531.jpg
644,"According to the Indian Constitution, which list includes subjects of national importance?",State List,Concurrent List,Union List,District List,C,The Union List contains subjects of national importance.,Civics,IMG_6531.jpg
645,Which of the following subjects falls under the Union List?,Agriculture,Police,Defence,Education,C,Defence is a subject under the Union List.,Civics,IMG_6531.jpg
646,Which of the following subjects falls under the State List?,Atomic Energy,Foreign Affairs,Agriculture,Currency & Coinage,C,Agriculture is a subject under the State List.,Civics,IMG_6531.jpg
647,Which of the following subjects falls under the Concurrent List?,War and Peace,Education,Railways,Ports,B,Education is a subject under the Concurrent List.,Civics,IMG_6531.jpg
648,The Seventh Schedule of the Indian Constitution divides legislative powers into how many lists?,Two,Four,Three,Five,C,"The Seventh Schedule divides powers into the Union, State, and Concurrent Lists.",Civics,IMG_6531.jpg
649,Which of the following is a fundamental right?,Right to property,Right to freedom of religion,Right to vote at 18,Right to free education after 14,B,Right to freedom of religion is a fundamental right.,Civics,IMG_6531.jpg
650,Which of the following is included in the Union List?,Local Government,Public Health,Foreign Trade,Liquor,C,Foreign Trade is included in the Union List.,Civics,IMG_6531.jpg
651,Which of the following is included in the State List?,Foreign Affairs,Banking,Land,Currency & Coinage,C,Land is included in the State List.,Civics,IMG_6531.jpg
652,Which of the following is included in the Concurrent List?,Defence,Police,Forests,Railways,C,Forests is included in the Concurrent List.,Civics,IMG_6531.jpg
653,"When changing direct speech to indirect speech, what should you do with the pronouns?",Keep them the same,Change them according to the context,Remove them completely,Add more pronouns,B,Pronouns need to be changed to reflect the speaker and listener in the indirect speech.,English,IMG_6496.jpg
654,"In direct speech, Tom says, 'Lilly likes pizza.' What tense is this?",Simple Past,Present Continuous,Simple Present,Past Perfect,C,The sentence 'Lilly likes pizza' is in the simple present tense.,English,IMG_6496.jpg
655,"In indirect speech, 'Tom said that Lilly liked pizza' is an example of changing which tense?",Present Continuous to Past Continuous,Simple Present to Simple Past,Present Perfect to Past Perfect,Simple Past to Past Perfect,B,The example shows the change from Simple Present to Simple Past.,English,IMG_6496.jpg
656,"In direct speech, Ali says to Kim, 'They are eating.' What tense is this?",Simple Present,Present Continuous,Simple Past,Past Continuous,B,The sentence 'They are eating' is in the present continuous tense.,English,IMG_6496.jpg
657,"In indirect speech, 'Ali told Kim that they were eating' is an example of changing which tense?",Present Continuous to Past Continuous,Simple Present to Simple Past,Present Perfect to Past Perfect,Simple Past to Past Perfect,A,The example shows the change from Present Continuous to Past Continuous.,English,IMG_6496.jpg
658,"In direct speech, Eva says, 'I have rung the bell.' What tense is this?",Simple Present,Present Continuous,Present Perfect,Past Perfect,C,The sentence 'I have rung the bell' is in the present perfect tense.,English,IMG_6496.jpg
659,"In indirect speech, 'Eva said that she had rung the bell' is an example of changing which tense?",Present Continuous to Past Continuous,Simple Present to Simple Past,Present Perfect to Past Perfect,Simple Past to Past Perfect,C,The example shows the change from Present Perfect to Past Perfect.,English,IMG_6496.jpg
660,Which reporting verb is typically used for questions?,Said,Told,Asked,Commanded,C,The reporting verb 'asked' is used for questions.,English,IMG_6496.jpg
661,Which reporting verb is typically used for requests?,Said,Told,Asked,Requested,D,The reporting verb 'requested' is used for requests.,English,IMG_6496.jpg
662,Which reporting verb is typically used for commands?,Said,Told,Asked,Commanded,D,The reporting verb 'commanded' is used for commands.,English,IMG_6496.jpg
663,What reporting clause is typically used for statements?,That,If,Whether,To,A,The reporting clause 'that' is typically used for statements.,English,IMG_6496.jpg
664,What reporting clause is typically used for exclamatory sentences?,That,If,Whether,To,A,The reporting clause 'that' is typically used for exclamatory sentences.,English,IMG_6496.jpg
665,What reporting clause is typically used for requests?,That,If,Whether,To,D,The reporting clause 'to' is typically used for requests.,English,IMG_6496.jpg
666,What reporting clause is typically used for commands?,That,If,Whether,To,D,The reporting clause 'to' is typically used for commands.,English,IMG_6496.jpg
667,Which of the following is the largest artery in the human body?,Aorta,Femur,Ribosome,Estrogen,A,The aorta is the largest artery in the human body.,Science,IMG_6517.jpg
668,What part of the cell is the ribosome located in?,Nucleus,Cytoplasm,Cell Membrane,Mitochondria,B,Ribosomes are tiny structures located in the cytoplasm of a cell.,Science,IMG_6517.jpg
669,Which of the following is an air-borne disease?,Diabetes,Measles,Cancer,Heart Disease,B,Measles is an air-borne disease.,Science,IMG_6517.jpg
670,What type of hormone is estrogen?,Protein hormone,Steroid hormone,Peptide hormone,Amino acid hormone,B,Estrogen is a steroid hormone.,Science,IMG_6517.jpg
671,What causes brass to get discolored in the air?,Oxygen,Carbon Dioxide,Hydrogen Sulphide,Nitrogen,C,Brass gets discolored in air because of the presence of Hydrogen Sulphide.,Science,IMG_6517.jpg
672,Which of the following elements is a non-metal and remains liquid at room temperature?,Iron,Bromine,Gold,Silver,B,Bromine is a non-metal that remains liquid at room temperature.,Science,IMG_6517.jpg
673,What is the hardest substance available on Earth?,Iron,Diamond,Steel,Titanium,B,The hardest substance available on earth is Diamond.,Science,IMG_6517.jpg
674,What are galvanized iron sheets coated with?,Copper,Zinc,Aluminum,Tin,B,Galvanised iron sheets have a coating of zinc.,Science,IMG_6517.jpg
675,Which element is common to all acids?,Oxygen,Carbon,Hydrogen,Nitrogen,C,Hydrogen is the element common to all acids.,Science,IMG_6517.jpg
676,What are non-stick cooking utensils coated with?,Plastic,Teflon,Rubber,Ceramic,B,Non-stick cooking utensils are coated with Teflon.,Science,IMG_6517.jpg
677,What is the most important ore of aluminum?,Iron Pyrite,Bauxite,Galena,Hematite,B,The most important ore of aluminium is bauxite.,Science,IMG_6517.jpg
678,Which of the following is the largest bone in the human body?,Tibia,Fibula,Femur,Humerus,C,Femur is the largest bone in the human body.,Science,IMG_6517.jpg
679,Which blood group does not have antibodies?,A,B,O,AB,D,The blood group without antibody is AB group.,Science,IMG_6517.jpg
680,Who invented the electric bulb?,Alexander Graham Bell,Thomas Alva Edison,Zacharis Janssen,Rune Elmqvist,B,Thomas Alva Edison invented the electric bulb.,Science,IMG_6517.jpg
681,Who invented the microphone?,Thomas Alva Edison,Alexander Graham Bell,Zacharis Janssen,Rune Elmqvist,B,Alexander Graham Bell invented the microphone.,Science,IMG_6517.jpg
682,Who invented the microscope?,Thomas Alva Edison,Alexander Graham Bell,Zacharis Janssen,Rune Elmqvist,C,Zacharis Janssen invented the microscope.,Science,IMG_6517.jpg
683,Who invented the pacemaker?,Thomas Alva Edison,Alexander Graham Bell,Zacharis Janssen,Rune Elmqvist,D,Rune Elmqvist invented the pacemaker.,Science,IMG_6517.jpg
684,Who invented the pedal driven bicycle?,Kirkpatrick Macmillan,Alexander Fleming,Jonas Edward Salk,Johannes Gutenberg,A,Kirkpatrick Macmillan invented the pedal driven bicycle.,Science,IMG_6517.jpg
685,Who invented Penicillin?,Kirkpatrick Macmillan,Alexander Fleming,Jonas Edward Salk,Johannes Gutenberg,B,Alexander Fleming invented Penicillin.,Science,IMG_6517.jpg
686,Who invented the Polio Vaccine?,Kirkpatrick Macmillan,Alexander Fleming,Jonas Edward Salk,Johannes Gutenberg,C,Jonas Edward Salk invented the Polio Vaccine.,Science,IMG_6517.jpg
687,Who invented the printing press?,Kirkpatrick Macmillan,Alexander Fleming,Jonas Edward Salk,Johannes Gutenberg,D,Johannes Gutenberg invented the printing press.,Science,IMG_6517.jpg
688,Who invented the radio?,Johannes Gutenberg,Guglielmo Marconi,William Cullen,Alexander Fleming,B,Guglielmo Marconi invented the radio.,Science,IMG_6517.jpg
689,Who invented the refrigerator?,Johannes Gutenberg,Guglielmo Marconi,William Cullen,Alexander Fleming,C,William Cullen invented the refrigerator.,Science,IMG_6517.jpg
690,In what year did Norman Pritchard win a silver medal in the Olympics?,1900,1952,1996,2000,A,Norman Pritchard won a silver medal in 1900.,General Knowledge,IMG_6538.jpg
691,Which sport did KD Jadhav win a bronze medal in at the Olympics?,Tennis,Weightlifting,Wrestling,Shooting,C,KD Jadhav won a bronze medal in Wrestling - Freestyle.,General Knowledge,IMG_6538.jpg
692,Leander Paes won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,B,Leander Paes won a bronze medal in Tennis - Singles.,General Knowledge,IMG_6538.jpg
693,Karnam Malleswari won a bronze medal in which sport?,Boxing,Shooting,Wrestling,Weightlifting,D,Karnam Malleswari won a bronze medal in Weightlifting - 54 kg.,General Knowledge,IMG_6538.jpg
694,In what sport did Rajyavardhan Singh Rathore win a silver medal?,Wrestling,Tennis,Shooting,Boxing,C,Rajyavardhan Singh Rathore won a silver medal in Shooting - Double Trap.,General Knowledge,IMG_6538.jpg
695,Abhinav Bindra won a gold medal in which sport?,Wrestling,Tennis,Shooting,Boxing,C,Abhinav Bindra won a gold medal in Shooting - 10m Air rifle.,General Knowledge,IMG_6538.jpg
696,In which sport did Vijender Singh win a bronze medal?,Wrestling,Tennis,Shooting,Boxing,D,Vijender Singh won a bronze medal in Boxing - Middleweight.,General Knowledge,IMG_6538.jpg
697,Sushil Kumar won medals in which sport?,Tennis,Shooting,Wrestling,Boxing,C,Sushil Kumar won medals in Wrestling.,General Knowledge,IMG_6538.jpg
698,Vijay Kumar won a silver medal in which sport?,Wrestling,Tennis,Shooting,Boxing,C,Vijay Kumar won a silver medal in Shooting - 25m Rapid Pistol.,General Knowledge,IMG_6538.jpg
699,Saina Nehwal won a bronze medal in which sport?,Badminton,Tennis,Shooting,Boxing,A,Saina Nehwal won a bronze medal in Badminton - Singles.,General Knowledge,IMG_6538.jpg
700,Mary Kom won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,D,Mary Kom won a bronze medal in Boxing - Flyweight.,General Knowledge,IMG_6538.jpg
701,Yogeshwar Dutt won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,A,Yogeshwar Dutt won a bronze medal in Wrestling - 60 kg.,General Knowledge,IMG_6538.jpg
702,Gagan Narang won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,C,Gagan Narang won a bronze medal in Shooting - 10m Air Rifle.,General Knowledge,IMG_6538.jpg
703,PV Sindhu won a bronze medal in which sport?,Wrestling,Badminton,Shooting,Boxing,B,PV Sindhu won a bronze medal in Badminton - Singles.,General Knowledge,IMG_6538.jpg
704,Sakshi Malik won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,A,Sakshi Malik won a bronze medal in Wrestling - 58 kg.,General Knowledge,IMG_6538.jpg
705,Neeraj Chopra won a gold medal in which sport?,Wrestling,Tennis,Javelin,Boxing,C,Neeraj Chopra won a gold medal in Javelin.,General Knowledge,IMG_6538.jpg
706,Mirabai Chanu won a silver medal in which sport?,Wrestling,Tennis,Weightlifting,Boxing,C,Mirabai Chanu won a silver medal in Weightlifting - 49 kg.,General Knowledge,IMG_6538.jpg
707,Ravi Kumar Dahiya won a silver medal in which sport?,Wrestling,Tennis,Shooting,Boxing,A,Ravi Kumar Dahiya won a silver medal in Wrestling - 57 kg.,General Knowledge,IMG_6538.jpg
708,Lovlina Borgohain won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,D,Lovlina Borgohain won a bronze medal in Boxing - Welterweight.,General Knowledge,IMG_6538.jpg
709,In what year did PV Sindhu win a bronze medal in Badminton at the Olympics?,2012,2016,2020,2024,B,PV Sindhu won a bronze medal in Badminton in 2016.,General Knowledge,IMG_6538.jpg
710,Bajrang Punia won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,A,Bajrang Punia won a bronze medal in Wrestling - 65 kg.,General Knowledge,IMG_6538.jpg
711,Manu Bhaker won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,C,"Manu Bhaker won a bronze medal in 10m Air Pistol, 10m Air Pistol mixed team.",General Knowledge,IMG_6538.jpg
712,Sarabjot Singh won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,C,Sarabjot Singh won a bronze medal in 10m Air Pistol mixed team.,General Knowledge,IMG_6538.jpg
713,Aman Sehrawat won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,A,Aman Sehrawat won a bronze medal in Wrestling - 57Kg.,General Knowledge,IMG_6538.jpg
714,Swapnil Kusale won a bronze medal in which sport?,Wrestling,Tennis,Shooting,Boxing,C,Swapnil Kusale won a bronze medal in 50m Air rifle.,General Knowledge,IMG_6538.jpg
715,Neeraj Chopra won a silver medal in which sport?,Wrestling,Tennis,Javelin,Boxing,C,Neeraj Chopra won a silver medal in Javelin.,General Knowledge,IMG_6538.jpg
716,In what year did Abhinav Bindra win a gold medal in Shooting at the Olympics?,2000,2004,2008,2012,C,Abhinav Bindra won a gold medal in Shooting in 2008.,General Knowledge,IMG_6538.jpg
717,What is holozoic nutrition?,A mode of nutrition where organisms eat only liquids.,A mode of nutrition where organisms eat solid foods.,A mode of nutrition where organisms produce their own food.,A mode of nutrition where organisms absorb nutrients directly from the environment.,B,Holozoic nutrition is a mode of nutrition in which organisms eat solid foods.,Science,IMG_6511.jpg
718,"In holozoic nutrition, what happens after an organism ingests food?",The food is immediately absorbed into the body cells.,The food is digested and then absorbed into the body cells.,The food is immediately thrown out of the body.,The food is converted into energy without digestion.,B,"In holozoic nutrition, the organism ingests the food, digests it, and then absorbs the nutrients into the body cells.",Science,IMG_6511.jpg
719,What is the process called by which unabsorbed food is thrown out of the body in holozoic nutrition?,Ingestion,Digestion,Absorption,Egestion,D,Egestion is the process by which unabsorbed food is thrown out of the body.,Science,IMG_6511.jpg
720,Which of the following animals has a holozoic mode of nutrition?,Mushroom,Grass,Dog,Rose,C,"Man, Cat, Dog, Bear, Giraffe, Frog, Fish, etc., have holozoic mode of nutrition.",Science,IMG_6511.jpg
721,What is motion?,When an object stays in the same position.,When an object changes its position with time.,When an object disappears.,When an object grows larger.,B,Motion is when an object changes its position with time.,Science,IMG_6511.jpg
722,What is another name for rectilinear motion?,Circular motion,Rotational motion,Translatory motion,Periodic motion,C,Rectilinear motion is also known as translatory motion.,Science,IMG_6511.jpg
723,Which of the following is an example of rectilinear motion?,A car turning a corner,A spinning top,A vehicle on a straight road,A pendulum swinging,C,Motion of any vehicle on a straight road is an example of rectilinear motion.,Science,IMG_6511.jpg
724,What is circular motion?,Motion along a straight line,Motion in a zig-zag pattern,Motion of an object rotating along a circular path,Motion that repeats at equal intervals of time,C,Circular motion is the movement of an object while rotating along a circular path.,Science,IMG_6511.jpg
725,Circular motion can be:,Always uniform,Always non-uniform,Either uniform or non-uniform,Neither uniform nor non-uniform,C,Circular motion can be either uniform or non-uniform.,Science,IMG_6511.jpg
726,What is rotational motion?,Motion along a straight line,Motion of an object around a circular path in a fixed orbit,Motion that repeats at equal intervals of time,Random motion,B,Rotational motion is the motion of an object around a circular path in a fixed orbit.,Science,IMG_6511.jpg
727,What is periodic motion?,Motion that is constant,Motion that is random,Motion repeated in equal intervals of time,Motion that only occurs once,C,Periodic motion is motion repeated in equal intervals of time.,Science,IMG_6511.jpg
728,Which of the following is an example of periodic motion?,A car driving down the street,A bouncing ball,A leaf falling from a tree,A person walking,B,A bouncing ball is an example of periodic motion.,Science,IMG_6511.jpg
729,"What does the Latin word 'Ignis' mean, from which the term 'igneous' is derived?",Water,Earth,Fire,Air,C,"The word 'igneous' comes from the Latin word 'Ignis', which means fire.",Igneous Rocks,IMG_6522.jpg
730,Igneous rocks are formed by the:,Compacting of sediments,Cooling of molten magma,Weathering of existing rocks,Application of heat and pressure,B,Igneous rocks are formed by the solidification on the cooling of molten magma.,Igneous Rocks,IMG_6522.jpg
731,What are igneous rocks called when molten magma cools deep inside the earth's crust?,Extrusive,Intrusive,Sedimentary,Metamorphic,B,"When molten magma cools deep inside the earth's crust, intrusive igneous rocks are formed.",Igneous Rocks,IMG_6522.jpg
732,What are igneous rocks called when molten magma (lava) comes on the earth's surface and cools rapidly?,Intrusive,Extrusive,Sedimentary,Metamorphic,B,"When molten magma comes on the earth's surface, it rapidly cools and becomes solid. These are called extrusive igneous rocks.",Igneous Rocks,IMG_6522.jpg
733,Which of the following is an example of an extrusive igneous rock?,Granite,Basalt,Sandstone,Marble,B,Basalt is an example of extrusive igneous rocks.,Igneous Rocks,IMG_6522.jpg
734,The Deccan Plateau is primarily made up of which type of rock?,Granite,Basalt,Sandstone,Limestone,B,The Deccan Plateau is made up of basalt rocks.,Igneous Rocks,IMG_6522.jpg
735,From which Latin word do sedimentary rocks get their name?,Ignis,Metamorphose,Sedimentum,Lava,C,Sedimentary rocks get their name from the Latin word 'sedimentum'.,Sedimentary Rocks,IMG_6522.jpg
736,What process primarily forms sedimentary rocks?,Cooling of magma,Settling down of sediments,Application of heat and pressure,Volcanic eruption,B,Sedimentary rocks are formed by the settling down of sediments.,Sedimentary Rocks,IMG_6522.jpg
737,Which of the following is an example of a sedimentary rock?,Basalt,Sandstone,Marble,Slate,B,Sandstone is an example of sedimentary rock.,Sedimentary Rocks,IMG_6522.jpg
738,From which Greek word is the term 'metamorphic' derived?,Sedimentum,Ignis,Metamorphose,Lava,C,The word 'metamorphic' is derived from the Greek word 'metamorphose'.,Metamorphic Rocks,IMG_6522.jpg
739,What does the Greek word 'metamorphose' mean?,Settling down,Change of form,Molten rock,Solidification,B,'Metamorphose' means change of form.,Metamorphic Rocks,IMG_6522.jpg
740,Metamorphic rocks are formed when igneous and sedimentary rocks change their form under which circumstances?,Extreme cold,Great heat and great pressure,Rapid cooling,Erosion,B,Metamorphic rocks are formed when igneous and sedimentary rocks change their form under great heat and great pressure.,Metamorphic Rocks,IMG_6522.jpg
741,Which of the following is an example of a metamorphic rock?,Sandstone,Basalt,Slate,Sediment,C,Slate is an example of a metamorphic rock.,Metamorphic Rocks,IMG_6522.jpg
742,What does clay become after metamorphosis?,Marble,Sandstone,Slate,Basalt,C,Clay becomes slate after metamorphosis.,Metamorphic Rocks,IMG_6522.jpg
743,What does limestone become after metamorphosis?,Slate,Marble,Sandstone,Basalt,B,Limestone becomes marble after metamorphosis.,Metamorphic Rocks,IMG_6522.jpg
744,Hindi Diwas is celebrated on which date every year?,14th of August,14th of September,15th of August,15th of September,B,Hindi Diwas is celebrated on the 14th of September every year.,Hindi Diwas,IMG_6502.jpg
